pps_mean,pps,pps_var,bps,cpu_idle,rssi_mean,rssi_var,label
0.013395,184,0.000128,48448,50.67,-75.5,220.03,1
0.010179,141,0.000197,35299,30.1,-77.4,158.06,1
0.012526,98,0.000104,22273,25.28,-73.9,271.63,1
0.009013,159,0.000091,72948,30.03,-77.6,265.34,1
0.007461,195,0.000054,54525,30.5,-75.2,190.45,1
0.010475,136,0.00013,34537,29.58,-72.2,180.42,1
0.008702,141,0.000078,32689,25.78,-73.5,180.99,1
0.007735,185,0.00007,40253,30.12,-76.1,197.89,1
0.011518,143,0.000093,34706,34.13,-77.4,196.54,1
0.011565,124,0.000182,29522,29.64,-76.6,210.42,1
0.00866,141,0.000076,35652,25.58,-73.7,188.98,1
0.012837,128,0.000119,28200,33.92,-77.9,192.36,1
0.012516,98,0.000103,24870,25.37,-76.7,178.96,1
0.01393,104,0.000177,23817,29.7,-74.1,255.9,1
0.010798,170,0.000107,42327,38.07,-70.9,272.02,1
0.014271,87,0.000135,23104,25.36,-72.7,209.64,1
0.01483,83,0.000109,20591,25.24,-71.4,254.75,1
0.015537,93,0.000134,23803,29.55,-73.3,245.53,1
0.017079,84,0.000238,18732,29.41,-76.1,208.19,1
0.015588,92,0.000134,22072,29.35,-72.4,205.17,1
0.016981,85,0.000164,21892,29.42,-71,250.16,1
0.016432,100,0.000138,26395,33.64,-75.6,225.43,1
0.016916,73,0.00027,15808,25.2,-72.5,265.1,1
0.013213,124,0.000126,28730,33.65,-73.8,272.62,1
0.010653,135,0.000132,34267,29.88,-73.2,214.99,1
0.011812,122,0.000113,29148,29.58,-73.9,211.61,1
0.013842,104,0.000115,24973,29.6,-73.8,256.69,1
0.011837,156,0.000153,36783,38.39,-76.2,202.12,1
0.0109,150,0.000114,40100,33.87,-75.9,182.97,1
0.014048,117,0.000149,27653,33.69,-72.6,306.62,1
0.017176,72,0.000315,19130,25.14,-73.7,214.11,1
0.012958,95,0.000106,22933,25.26,-74.9,261.31,1
0.011473,143,0.00011,33360,34.04,-77.9,194.89,1
0.008492,145,0.000082,33143,25.87,-75.7,221.29,1
0.011902,121,0.000103,27505,29.85,-78,209.44,1
0.009884,207,0.000141,53496,42.75,-77.6,170.91,1
0.009027,136,0.000081,31131,25.63,-75.1,264.56,1
0.01046,137,0.000119,32237,29.63,-75.9,242.09,1
0.009356,155,0.000109,40009,30.17,-75.5,175.38,1
0.008765,140,0.000091,33697,25.54,-76.6,169.65,1
0.006553,187,0.000067,43142,26.08,-76.9,199.43,1
0.014858,83,0.000157,18439,25.18,-72.1,278.53,1
0.015718,92,0.000117,23495,29.53,-74,246.29,1
0.012249,102,0.000235,26956,25.68,-75.4,228.15,1
0.013883,102,0.000218,22870,29.07,-74.7,265.79,1
0.010319,159,0.000109,40457,34.08,-74.8,176.33,1
0.011622,106,0.000148,26576,25.35,-74.7,243.06,1
0.009004,182,0.000094,45594,34.32,-74.2,235.54,1
0.007103,172,0.000079,42738,25.9,-76.7,194.7,1
0.011879,138,0.000102,34128,33.93,-77.5,255.6,1
0.008896,184,0.000089,44027,34.26,-78.4,216.49,1
0.01139,109,0.000255,25152,25.66,-76.9,245.69,1
0.01531,120,0.000205,28767,37.73,-74.4,243.44,1
0.007576,189,0.000085,42341,30.16,-76.1,202.86,1
0.016331,76,0.000208,16877,25.27,-71.9,281.53,1
0.012307,100,0.000219,20815,25.39,-68.7,379.48,1
0.012934,111,0.00015,26324,29.58,-75.6,178.62,1
0.016671,112,0.000189,25823,38.87,-76.5,154.66,1
0.017813,81,0.000232,19216,29.9,-74.5,156.37,1
0.016087,77,0.000345,17137,25.84,-73.7,223.1,1
0.011845,138,0.000167,31826,33.94,-70.7,239.45,1
0.013259,93,0.000158,21172,25.16,-71.3,325.13,1
0.015153,82,0.000212,18359,25.64,-72.9,281.09,1
0.014161,87,0.000147,22181,25.31,-74.4,210.02,1
0.014809,125,0.000169,27846,39.26,-73.9,298.88,1
0.008489,168,0.000116,39395,30.36,-72.6,197.93,1
0.008676,141,0.000079,29696,25.89,-79.3,189.9,1
0.009655,148,0.000132,36253,29.88,-75,146,1
0.01193,123,0.000134,30437,30.53,-77.1,165.06,1
0.01148,122,0.000169,26088,29.22,-75.1,166.43,1
0.012071,136,0.000138,33101,34.07,-73.1,162.55,1
0.010934,169,0.000119,38007,38.32,-74.8,263.92,1
0.008828,186,0.000079,37869,34.63,-72.6,231.49,1
0.000692,3108,0.000004,290385,45.71,-61.9,26.54,1
0.000634,10115,0.000004,936651,134.5,-63,31.09,1
0.00029,43634,0.000001,3945784,143.29,-62.2,18.19,1
0.000293,17158,0.000001,1577210,64.77,-61.1,21.1,1
0.000307,28526,0.000001,2627740,119.06,-63.1,12.01,1
0.000445,11298,0.000002,1042770,83.61,-62.3,40.35,1
0.000328,24861,0.000001,2255821,88.73,-63.2,30.78,1
0.000349,24588,0.000001,2340771,102.77,-61.5,46.81,1
0.000291,25016,0.000001,2253901,76.15,-62.7,24.04,1
0.000294,30413,0.000001,2781547,96.19,-62.6,30.14,1
0.000353,26794,0.000001,2438846,101.15,-63.3,43.31,1
0.000251,20080,0.000001,1792540,57.19,-64.2,13.25,1
0.000229,22164,0.000001,1962992,65.38,-64.2,5.82,1
0.000231,21724,0.000001,1925209,62.46,-63.4,7.2,1
0.00025,20106,0.000001,1775301,54.74,-62.4,24.37,1
0.000255,19686,0.000001,1754398,58.96,-64,20.87,1
0.000215,23397,0.000001,2078715,57.65,-64,15.32,1
0.000197,25478,0,2251168,54.69,-63.4,4.67,1
0.00023,21826,0.000001,1943798,60.23,-63.8,4.41,1
0.000255,19779,0.000001,1785450,60.35,-63,8.12,1
0.000236,37263,0.000001,3362684,109.3,-63.4,5.1,1
0.000236,21400,0.000001,1920294,62.54,-63.2,5.65,1
0.000231,52198,0.000001,4634479,144.48,-64.6,8.09,1
0.00026,46366,0.000001,4130263,157,-64.9,10.79,1
0.000319,37758,0.000001,3401974,192.11,-66.4,15.01,1
0.000326,21866,0.000001,1991690,129.43,-65.3,7.65,1
0.000312,21553,0.000001,1966043,109.51,-65,7.19,1
0.000335,20146,0.000002,1858233,111.92,-66.6,12.5,1
0.000292,19374,0.000001,1735673,89.41,-65.5,6.38,1
0.000224,33894,0.000001,3004228,90.61,-64.8,5.38,1
0.000206,24318,0,2147201,54.71,-64.6,3.1,1
0.000213,23522,0.000001,2074553,58.16,-63.9,4.15,1
0.000199,25295,0.000001,2230059,54.51,-63.9,2.81,1
0.00024,21208,0.000001,1882600,58.94,-63.2,12.79,1
0.00024,20997,0.000001,1855142,54.02,-63.5,12.07,1
0.000412,13612,0.000001,1308685,64.63,-60.5,22.76,1
0.001393,900,0.000036,106818,25.27,-61.5,28.92,1
0.012005,120,0.000149,25901,29.64,-70.4,203.83,1
0.002607,400,0.000006,50982,25.94,-65.4,73.39,1
0.002572,509,0.000007,76019,32.55,-66.9,72.17,1
0.003197,341,0.000009,42611,26.88,-64.8,66.78,1
0.003659,314,0.000026,43438,26.84,-65.2,99.07,1
0.002976,369,0.000009,47221,27.28,-64.6,78.98,1
0.002877,809,0.000007,103598,57.03,-64.4,61.48,1
0.002927,355,0.000009,45272,24.9,-65.1,76.61,1
0.002658,544,0.000006,63213,35.73,-63.9,54.9,1
0.003338,327,0.000013,38368,26.64,-65.4,56.68,1
0.003144,937,0.00001,116181,71.72,-64.5,51.25,1
0.00373,272,0.000014,33553,24.39,-63.5,37.41,1
0.004269,310,0.000034,44090,30.98,-65.9,89.52,1
0.004739,288,0.000061,39182,31.13,-66.5,129.33,1
0.012253,100,0.000239,17025,25.21,-73.7,229.43,1
0.010062,163,0.000174,36841,34.5,-72.7,159.02,1
0.017691,70,0.000508,13639,25.34,-69.6,153.1,1
0.016148,76,0.000429,13856,25.2,-68.3,255.86,1
0.01741,83,0.000379,15103,29.48,-71.1,220.37,1
0.002879,357,0.000008,45492,25.06,-65.2,83.26,1
0.002938,372,0.000008,48237,26.88,-66.2,81.83,1
0.003209,611,0.000009,71349,46.61,-62.3,59.49,1
0.002899,403,0.00001,46833,27.99,-62.9,93.1,1
0.004959,261,0.00006,34921,29.42,-65.8,90.74,1
0.013171,94,0.000301,17228,25.42,-73.4,209.87,1
0.009992,123,0.000166,24149,25.49,-74,211.85,1
0.010937,117,0.000163,23199,26.71,-76.9,204.65,1
0.01095,108,0.000157,21974,24.38,-75.7,218.12,1
0.008036,184,0.000131,28614,32.09,-68.4,147.31,1
0.004411,339,0.00005,48219,34.96,-67.7,130.78,1
0.002924,391,0.000011,47588,28.21,-64.4,80.01,1
0.003141,323,0.000011,40173,25.08,-65.1,64.88,1
0.002765,956,0.000008,122700,65.49,-64.7,81.36,1
0.016325,126,0.000266,30318,42.35,-78.9,197.58,1
0.011359,108,0.000111,21735,25.58,-77.4,198.47,1
0.005513,248,0.000045,42888,30.78,-74.1,202.78,1
0.003691,723,0.000032,99998,63.72,-66,124.95,1
0.006085,220,0.00012,31619,29.34,-65.6,138.2,1
0.002856,400,0.000006,51484,27.34,-64.9,92.84,1
0.002682,377,0.000006,46951,25.18,-64.2,87.78,1
0.003221,374,0.000009,47254,29.27,-64,81.56,1
0.003045,509,0.000009,67456,38.29,-66.1,82.25,1
0.00779,233,0.000167,35956,38.97,-68.6,141.27,1
0.012556,164,0.000204,36088,42.78,-75.2,191.26,1
0.00336,516,0.000032,70295,41.02,-64.8,110,1
0.002665,382,0.000006,50064,24.62,-64.8,110.96,1
0.006723,189,0.000132,27568,27.42,-66.3,143.34,1
0.003195,358,0.000011,51284,27.23,-66.5,125.93,1
0.003006,544,0.00001,67963,39.71,-64.3,76.44,1
0.002882,372,0.000009,47449,25.95,-64.1,78.98,1
0.002227,551,0.000003,65919,30.78,-63.7,69.91,1
0.009465,186,0.000208,35462,37.51,-70.5,177.03,1
0.014207,87,0.000197,18030,25.18,-74.5,206.04,1
0.013831,90,0.000159,19562,25.62,-71.7,244.22,1
0.004504,317,0.00004,48738,32.12,-66.5,170.92,1
0.003388,307,0.000019,39481,24.51,-62.9,100.08,1
0.005671,241,0.000101,42807,29.84,-68.1,273.1,1
0.003124,388,0.000012,50629,28.53,-65.6,139.78,1
0.003646,278,0.000013,33989,23.77,-62.2,90.22,1
0.003858,335,0.000016,42121,30.21,-62.7,88.92,1
0.003545,336,0.000017,42258,27.46,-63.7,123.98,1
0.004278,279,0.000026,37979,27.66,-65.7,99.22,1
0.00362,306,0.000016,38927,26.13,-66.1,65.39,1
0.00349,326,0.000013,39826,26.43,-64.5,84.07,1
0.003334,626,0.000014,86685,50.17,-67.5,85.65,1
0.004074,268,0.000021,33570,24.45,-61.8,97.04,1
0.004217,247,0.000046,30875,23.66,-61.2,126.26,1
0.008979,157,0.00028,19528,30.95,-64,183.8,1
0.00611,196,0.000135,22847,26.23,-62.2,186.24,1
0.009277,199,0.000259,27837,39.52,-63.7,314.07,1
0.008603,635,0.000187,95649,119.07,-67.7,208.89,1
0.008934,424,0.000189,78262,80.3,-72.6,289.71,1
0.007804,789,0.000141,115910,134.67,-69.1,189.75,1
0.005731,975,0.00007,159582,124.88,-69.8,235.21,1
0.007392,915,0.000139,146713,147.91,-68.7,198.1,1
0.006389,190,0.000136,24651,26.41,-64.7,124.27,1
0.004266,305,0.000053,36752,30.26,-67.8,179.63,1
0.003991,310,0.000047,44716,28.14,-64.8,117.03,1
0.007217,177,0.000099,33506,27,-72.4,202.06,1
0.012182,98,0.000289,17849,25.42,-70.6,195.53,1
0.011805,121,0.000261,22798,30.57,-72.1,207.7,1
0.005541,263,0.000122,39361,32.5,-67.7,158.13,1
0.007454,188,0.000169,27389,29.81,-67.9,213.4,1
0.006693,184,0.000118,29042,27.54,-68.4,150.96,1
0.010458,118,0.000199,23497,25.76,-69.5,234.45,1
0.010554,121,0.00023,24175,27.07,-72.9,249.43,1
0.006455,216,0.000142,30684,29.74,-66.4,275.67,1
0.006927,190,0.000175,27539,28.56,-67.5,167.73,1
0.012023,113,0.000234,21447,28.1,-73,189.84,1
0.004621,270,0.000066,32814,28.45,-64.6,156.99,1
0.009507,127,0.000213,22239,25.35,-69.9,197.53,1
0.007621,174,0.000152,23683,28.5,-65.2,166.28,1
0.013707,98,0.000316,16091,28.78,-67.9,239.34,1
0.008638,143,0.000182,28519,26.11,-68,306.2,1
0.008442,144,0.000144,25568,25.82,-68.5,281.79,1
0.009146,157,0.000182,27184,29.92,-67.1,305.45,1
0.011653,124,0.000206,26676,29.88,-77,187.61,1
0.004815,259,0.000115,37112,25.7,-68.3,154.95,1
0.000292,19194,0.000001,1717673,59.25,-63.4,16.03,1
0.00035,22994,0.000001,2096606,86.71,-60.7,28.55,1
0.000396,12674,0.000001,1160252,50.94,-59.8,35.67,1
0.000392,12855,0.000001,1170985,54.71,-59.2,22.45,1
0.000371,23938,0.000001,2180986,92.03,-59.7,18.86,1
0.000394,20205,0.000001,1829373,85.99,-59.9,20.3,1
0.000362,13956,0.000001,1256714,53.67,-60.1,20.36,1
0.000398,12613,0.000001,1142675,51.88,-60,22.66,1
0.000374,24246,0.000001,2195561,95.01,-60.3,21.51,1
0.000391,21433,0.000001,1948602,87.05,-60.3,24.14,1
0.000415,23718,0.000002,2139640,112.7,-60.4,25.31,1
0.000437,17043,0.000001,1535263,83.52,-60.2,24.99,1
0.000417,19767,0.000001,1796924,91.29,-60.4,3171.7,1
0.000409,37189,0.000001,3355235,166.31,-60.4,25.73,1
0.000391,23356,0.000001,2120409,97.91,-60.4,29.04,1
0.000407,20978,0.000001,1906512,93.08,-60.5,29.08,1
0.000401,22147,0.000001,2025749,96,-60.4,31.77,1
0.000395,37183,0.000001,3385782,159.6,-60.5,31.2,1
0.000404,12424,0.000001,1128760,54.44,-60.4,29.37,1
0.000387,12962,0.000002,1187806,55.43,-60.8,31.53,1
0.000393,22465,0.000001,2028465,98.3,-60.4,26.5,1
0.000378,13299,0.000001,1204807,52.27,-60.6,28.38,1
0.000377,18903,0.000001,1708583,76.17,-60.5,27.49,1
0.00037,20694,0.000001,1888906,81.8,-60.9,30.57,1
0.000389,12956,0.000002,1169077,53.74,-60.1,24.41,1
0.000401,20484,0.000001,1842900,92.01,-60,23.96,1
0.000379,33492,0.000001,3035795,138.22,-60.4,27.11,1
0.000383,24892,0.000001,2263661,101.69,-59.8,29.97,1
0.000423,21736,0.000001,1969183,101.95,-60.8,25.25,1
0.000412,12260,0.000001,1121861,53.03,-60.3,31.45,1
0.000443,11350,0.000001,1065944,55.91,-60.5,55.6,1
0.00035,14446,0.000002,1357808,55.28,-60.7,47.98,1
0.000352,14348,0.000001,1311671,53.97,-56.5,33.14,1
0.00031,26076,0.000001,2370548,87.85,-53.3,15.42,1
0.000284,17670,0.000001,1586923,52.11,-54.7,7.62,1
0.000315,27589,0.000002,2512246,96.96,-54.7,12.91,1
0.000362,22210,0.000001,2059969,87.84,-59.6,65.32,1
0.000543,15239,0.000002,1465630,98.75,-55.2,61.48,1
0.000529,14053,0.000002,1370173,84.47,-54.7,39.13,1
0.008443,147,0.000103,37549,25.74,-76.3,265.12,1
0.01218,116,0.000247,25798,29.43,-74.7,228.91,1
0.003588,282,0.000011,41243,23.7,-61.2,219.96,1
0.003934,256,0.000013,35141,23.48,-61.6,201.08,1
0.003471,312,0.000013,40314,25.09,-59,167.92,1
0.003136,397,0.00001,49887,29.09,-61.2,157.34,1
0.003264,353,0.000008,45180,27.14,-61.7,158.73,1
0.013711,92,0.000249,19284,25.78,-74.8,239.16,1
0.011373,112,0.000192,24306,26.43,-73.8,256.33,1
0.007369,217,0.000106,38668,34.35,-68.1,263.84,1
0.004468,303,0.000048,45561,30.33,-64.9,211.96,1
0.003541,310,0.000049,36759,25.35,-60.7,128.18,1
0.005859,244,0.000073,37039,31.22,-65.3,247,1
0.007406,195,0.000104,42513,30.56,-75.2,252.03,1
0.011387,109,0.000212,24938,25.56,-77.5,227.61,1
0.008599,167,0.000126,36815,30.09,-77.2,214.02,1
0.003837,337,0.000045,45111,30.86,-61.9,163.15,1
0.002781,415,0.000007,55759,27.41,-63.6,172.74,1
0.002859,445,0.000007,54920,30.85,-62.3,143.26,1
0.002639,474,0.000006,62536,29.92,-63.1,183.42,1
0.002886,457,0.000006,55571,32.02,-62,150.84,1
0.007138,240,0.000106,39524,36.55,-63.9,261.33,1
0.005,264,0.000036,36084,29.08,-65,202.61,1
0.005502,240,0.000081,45006,28.55,-71.5,241.18,1
0.009745,126,0.000177,27687,25.56,-75.8,249.4,1
0.011945,103,0.000229,21509,25.33,-70.7,345.69,1
0.004083,292,0.000085,43348,26.92,-66.3,216.26,1
0.0033,333,0.000013,41013,25.67,-61,144.99,1
0.003165,339,0.00001,45911,25.02,-64.1,156.39,1
0.002815,409,0.000007,52999,27.61,-62.4,172.05,1
0.002853,350,0.000007,43562,23.74,-60.7,148.85,1
0.003765,295,0.000057,41045,25.21,-62.9,185.35,1
0.0135,87,0.000293,18746,24.22,-71.9,278.13,1
0.009899,124,0.000105,26004,25.44,-75.2,286.49,1
0.011693,108,0.000131,23118,25.97,-74.5,279.64,1
0.008489,142,0.000112,34036,25.07,-78.1,202.03,1
0.008451,146,0.000117,32737,25.86,-74.2,264.73,1
0.00746,183,0.000143,26554,29.2,-64.9,237.4,1
0.003107,374,0.000007,49204,27.4,-61.3,170.39,1
0.002834,451,0.000007,55159,30.72,-62.2,149.39,1
0.002707,370,0.000008,46166,23.88,-61.3,152.46,1
0.002881,361,0.000007,46513,24.67,-62.2,156.84,1
0.005815,192,0.0001,29110,24.18,-64.9,217.16,1
0.010932,113,0.00021,24979,25.6,-73.7,228.95,1
0.00933,132,0.000129,30701,25.55,-75.4,181.16,1
0.005302,246,0.000047,39789,28.79,-64.7,217.98,1
0.002923,383,0.000007,47928,26.95,-60.9,147.2,1
0.003959,266,0.000047,33064,24.11,-60.9,137.95,1
0.00946,153,0.000144,32912,30.17,-72.9,258.14,1
0.002831,518,0.000008,74224,35.24,-64.4,167.33,1
0.002617,488,0.000006,60094,30.91,-61.6,139.75,1
0.002783,418,0.000006,52955,28.2,-61.6,138.49,1
0.003863,273,0.000044,36397,24.32,-63.5,201.97,1
0.004414,331,0.000037,46281,32.73,-63.2,178.52,1
0.002975,377,0.000008,48497,26.25,-62.5,156.54,1
0.003252,356,0.00001,47794,27.51,-62.9,176.46,1
0.002937,341,0.000006,43549,23.45,-61.9,149.76,1
0.002987,340,0.000009,45597,24.02,-62.5,163.28,1
0.002796,528,0.000007,61677,35.41,-61.9,151.86,1
0.002843,394,0.000007,53981,26.71,-62.9,168.59,1
0.002958,395,0.000009,50910,27.8,-62.3,154.36,1
0.003577,371,0.000049,49532,30.8,-62.2,170.36,1
0.004465,270,0.000054,42396,26.63,-64.7,305,1
0.002747,462,0.000006,62367,30.45,-62.6,190.16,1
0.00276,363,0.000007,48849,23.98,-62.6,201.91,1
0.002993,468,0.000008,61175,33.28,-61.3,175.06,1
0.009406,154,0.000202,30944,30.28,-69.2,272.26,1
0.012872,128,0.000211,29878,34.01,-75.8,213.54,1
0.007288,187,0.000096,32718,29.25,-68.4,297.46,1
0.003274,352,0.00001,47263,27.15,-63.2,181.08,1
0.002839,462,0.000008,62704,31.38,-63.1,174.4,1
0.00275,406,0.000007,56983,26.37,-63.5,180.28,1
0.00252,397,0.000005,52555,24.01,-63.5,165.7,1
0.002626,381,0.000005,47994,24.04,-61.4,137.68,1
0.004786,303,0.00006,52659,32.09,-67.9,234.92,1
0.009582,129,0.000147,30717,25.65,-76.7,198.38,1
0.009742,126,0.000151,27767,25.47,-71.8,397.34,1
0.0125,99,0.000188,21287,25.31,-74.2,263.86,1
0.007801,158,0.000098,39254,25.93,-77,188.61,1
0.006885,176,0.000124,24479,26.13,-58.9,181.99,1
0.003392,341,0.000008,44859,27.3,-60.1,164.4,1
0.002865,489,0.000007,70315,33.34,-64.1,193.53,1
0.005187,223,0.000055,37695,25.23,-68,227.02,1
0.010207,140,0.000205,29915,29.73,-71.4,267.15,1
0.002668,391,0.000004,53320,25.12,-59.9,194.85,1
0.003085,340,0.00001,51910,24.56,-63.1,259,1
0.002928,478,0.000008,62811,33.23,-63,179.48,1
0.00616,198,0.000079,38986,26.16,-70.9,254.92,1
0.012761,97,0.000264,19221,25.23,-72.8,279.66,1
0.007814,158,0.000104,36858,26.12,-76.1,213.23,1
